"Timestamp","Studio Art (x1) - Demand (kW)","PV Inverter (x0) - Demand (kW)","Chiller (x0) - Demand (kW)","MDB - AHU (x0) - Demand (kW)","LDB (x0) - Demand (kW)","H1 (x0) - Demand (kW)","LDB (x0) - Temperature (F)","Chiller (x0) - Temperature (F)","H1 (x0) - Temperature (F)","MDB - AHU (x0) - Temperature (F)","PV Inverter (x0) - Temperature (F)","Studio Art (x1) - Temperature (F)"
"2017-04-09 00:53:00",,,,,,,52,52,52,52,52,52
"2017-04-09 02:53:00",,,,,,,48,48,48,48,48,48
"2017-04-09 03:53:00",,,,,,,47,47,47,47,47,47
"2017-04-09 04:53:00",,,,,,,47,47,47,47,47,47
"2017-04-09 05:53:00",,,,,,,48,48,48,48,48,48
"2017-04-09 06:53:00",,,,,,,47,47,47,47,47,47
"2017-04-09 07:53:00",,,,,,,49,49,49,49,49,49
"2017-04-09 08:53:00",,,,,,,53,53,53,53,53,53
"2017-04-09 09:53:00",,,,,,,55,55,55,55,55,55
"2017-04-09 10:53:00",,,,,,,59,59,59,59,59,59
"2017-04-09 11:53:00",,,,,,,64,64,64,64,64,64
"2017-04-09 12:53:00",,,,,,,66,66,66,66,66,66
"2017-04-09 13:53:00",,,,,,,67,67,67,67,67,67
"2017-04-09 14:53:00",,,,,,,70,70,70,70,70,70
"2017-04-09 15:53:00",,,,,,,73,73,73,73,73,73
"2017-04-09 16:53:00",,,,,,,72,72,72,72,72,72
"2017-04-09 17:53:00",,,,,,,72,72,72,72,72,72
"2017-04-09 18:53:00",,,,,,,67,67,67,67,67,67
"2017-04-09 19:53:00",,,,,,,63,63,63,63,63,63
"2017-04-09 20:53:00",,,,,,,61,61,61,61,61,61
"2017-04-09 21:53:00",,,,,,,59,59,59,59,59,59
"2017-04-09 22:53:00",,,,,,,56,56,56,56,56,56
"2017-04-09 23:53:00",,,,,,,57,57,57,57,57,57
"2017-04-10 00:53:00",,,,,,,54,54,54,54,54,54
"2017-04-10 01:53:00",,,,,,,52,52,52,52,52,52
"2017-04-10 02:53:00",,,,,,,52,52,52,52,52,52
"2017-04-10 03:53:00",,,,,,,51,51,51,51,51,51
"2017-04-10 04:53:00",,,,,,,51,51,51,51,51,51
"2017-04-10 05:53:00",,,,,,,49,49,49,49,49,49
"2017-04-10 06:53:00",,,,,,,50,50,50,50,50,50
"2017-04-10 07:53:00",,,,,,,56,56,56,56,56,56
"2017-04-10 08:53:00",,,,,,,60,60,60,60,60,60
"2017-04-10 09:53:00",,,,,,,64,64,64,64,64,64
